Gene,Score
916_at,25.45310463
7515_at,25.39114258
723778_at,25.35441554
9556_at,25.28461891
940_at,25.14595051
27314_at,25.08754489
3098_at,25.02842847
28452_at,24.96048935
154664_at,24.89228286
1193_at,24.83625866
8724_at,24.75088698
2235_at,24.73663093
2153_at,24.72735894
118932_at,24.7026409
5721_at,24.66869328
7163_at,24.66095354
692148_at,24.63203645
28479_at,24.62939367
6948_at,24.62023647
114599_at,24.61933451
64420_at,24.56450425
83638_at,24.55198307
644588_at,24.54871106
5051_at,24.53772479
10134_at,24.48412318
28434_at,24.43166942
11070_at,24.4038093
10949_at,24.3541791
55070_at,24.30701722
28697_at,24.28202448
54734_at,24.27041438
2205_at,24.20599075
28477_at,24.14860524
3301_at,24.09871152
9050_at,24.04255343
28946_at,24.00572388
100874417_at,23.93674647
28816_at,23.88765432
677806_at,23.76624167
57698_at,23.76459681
1349_at,23.66961504
3779_at,23.66410575
54855_at,23.60294451
79674_at,23.5735076
732229_at,23.53419078
84836_at,23.52891555
28423_at,23.4987369
81618_at,23.47426905
100616349_at,23.46019275
23052_at,23.41835451
9524_at,23.41012238
28818_at,23.39422573
7227_at,23.34947979
5273_at,23.34240968
597_at,23.33043793
2201_at,23.32128719
28468_at,23.31228144
6079_at,23.28426692
1514_at,23.22380972
5166_at,23.19890758
54757_at,23.15197816
3268_at,23.1515158
57600_at,23.01760195
9368_at,22.93416154
10184_at,22.91397204
347097_at,22.89058383
23601_at,22.83693656
149076_at,22.80967092
2624_at,22.76085516
51338_at,22.7495555
58526_at,22.74334111
1806_at,22.62434743
3603_at,22.59763586
79753_at,22.56866059
729497_at,22.56677123
677793_at,22.56084807
115004_at,22.55802008
81608_at,22.55137641
3652_at,22.51201498
29940_at,22.46278073
220002_at,22.45736339
64092_at,22.3995357
54543_at,22.329463
442707_at,22.324501
84065_at,22.30692327
23380_at,22.29639035
84342_at,22.21052363
1408_at,22.18017972
3045_at,22.17738933
28673_at,22.0160291
65108_at,21.98473137
28755_at,21.96916891
6044_at,21.96585289
6283_at,21.91537313
677832_at,21.89188745
28392_at,21.84000255
28388_at,21.80049466
3101_at,21.75657222
105377499_at,21.74677379
669_at,21.72996609
9149_at,21.6812769
3753_at,21.66295253
27300_at,21.58729113
28448_at,21.57193626
27240_at,21.52559455
939_at,21.52308086
3949_at,21.52260543
28426_at,21.52018049
6993_at,21.5130431
959_at,21.50507423
391356_at,21.49977988
115361_at,21.49483856
84985_at,21.48782857
10542_at,21.46765433
1731_at,21.45812136
126375_at,21.45793602
51314_at,21.45040119
644_at,21.43190727
339201_at,21.40073274
5687_at,21.39319927
57326_at,21.35483519
5977_at,21.22816445
911_at,21.22660508
9397_at,21.22236624
1669_at,21.21163172
28444_at,21.15896054
28948_at,21.15208011
